above_majority_sign_agrees,bf16_above_majority,bf16_accuracy,bf16_macro_f1,location,model_id,q8_above_majority,q8_accuracy,q8_macro_f1,q8_model_revision,split,status,task
True,0.06163655685441016,0.7502656748140276,0.7205551655663315,target_final_subtoken,phi-3-mini,0.057385759829968075,0.7460148777895855,0.7148997062699092,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,pos
True,0.30319148936170215,0.9574468085106383,0.9524762887014904,prompt_final,phi-3-mini,0.3198724760892667,0.9521785334750266,0.947957185890369,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,gender
True,0.25212765957446803,0.9063829787234042,0.894792535764433,target_final_subtoken,phi-3-mini,0.3177470775770457,0.9500531349628055,0.9454994904479006,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,gender
True,0.1606382978723404,0.9712765957446808,0.9381774332786743,prompt_final,phi-3-mini,0.1317747077577046,0.971307120085016,0.9635471387832079,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,number
True,0.13617021276595742,0.9468085106382979,0.8928764166216946,target_final_subtoken,phi-3-mini,0.08926673751328373,0.9287991498405951,0.7499269941819979,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,lemma-heldout,metric_comparison_only,number
True,0.17534537725823596,0.7385759829968119,0.7407017213476467,prompt_final,phi-3-mini,0.2221041445270988,0.7853347502656748,0.7660127249381986,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,pos
True,0.1997874601487779,0.7630180658873539,0.7636442972972258,target_final_subtoken,phi-3-mini,0.23910733262486716,0.8023379383634431,0.793965880289912,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,pos
True,0.3393617021276596,0.9414893617021277,0.9393385437261152,prompt_final,phi-3-mini,0.257173219978746,0.8767268862911796,0.8734687253674596,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,gender
True,0.3425531914893617,0.9446808510638298,0.9425263029174251,target_final_subtoken,phi-3-mini,0.26248671625929865,0.8820403825717322,0.8757330135377741,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,gender
True,0.10744680851063826,0.9712765957446808,0.9022492642196432,prompt_final,phi-3-mini,0.08501594048884165,0.9606801275239107,0.7736265618251946,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,number
True,0.07446808510638292,0.9382978723404255,0.8210971261246369,target_final_subtoken,phi-3-mini,0.03400637619553659,0.9096705632306057,0.6822097378277153,bartowski/Phi-3-mini-4k-instruct-GGUF@b1ba0d294ce7ca37cdeb70d2f86f5f633fb27155,root-heldout,metric_comparison_only,number
True,0.24760892667375134,0.9362380446333688,0.9215650462187859,prompt_final,qwen2.5-1.5b,0.1466524973432518,0.8352816153028693,0.7900603023436888,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.14133900106269925,0.8299681190223167,0.8003727110678982,target_final_subtoken,qwen2.5-1.5b,0.10733262486716255,0.79596174282678,0.7631619230700771,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.2914893617021276,0.9457446808510638,0.9398173429997175,prompt_final,qwen2.5-1.5b,0.25504782146652494,0.8873538788522848,0.8795861702641363,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.1574468085106383,0.8117021276595745,0.8006849881223204,target_final_subtoken,qwen2.5-1.5b,0.18703506907545164,0.8193411264612115,0.805739058629232,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.16702127659574473,0.9776595744680852,0.9746563115978967,prompt_final,qwen2.5-1.5b,0.08501594048884165,0.924548352816153,0.8356010836730632,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
