model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
allam-7b,target_mean_span,gender,random,5,0.9729732852967168,0.00158713686308296,0.9711959373958073,0.0017440810183061838,0.6260906804432058,0.3468826048535109,23.8,"12,23,26,29,29"
allam-7b,target_mean_span,gender,root-heldout,5,0.9095561144721638,0.019097542480753106,0.9026120628056453,0.019893726106542626,0.6260895475041353,0.28346656696802847,19.4,"7,15,20,26,29"
allam-7b,target_mean_span,number,lemma-heldout,5,0.979354224729794,0.008800346954593776,0.9154528624911655,0.06045235343250588,0.8414610382253642,0.1378931865044298,24.4,"18,21,26,27,30"
allam-7b,target_mean_span,number,random,5,0.9940414202524188,0.001442549496837849,0.9634254886042692,0.028301658557491012,0.8414556001178257,0.15258582013459318,14.2,"6,14,14,15,22"
allam-7b,target_mean_span,number,root-heldout,5,0.9853162032945868,0.002962646665224347,0.9347830404729542,0.0336115124088938,0.8414483493077742,0.14386785398681257,25.8,"18,26,28,28,29"
allam-7b,target_mean_span,pos,lemma-heldout,5,0.8840701381509033,0.022011985732099462,0.8664298741392249,0.022243328353715893,0.6290024193366043,0.255067718814299,17.8,"4,6,24,26,29"
allam-7b,target_mean_span,pos,random,5,0.956606597779637,0.0073406960149779675,0.9500102127336569,0.008727925389639549,0.6290150812851877,0.3275915164944491,11.2,"6,8,9,16,17"
allam-7b,target_mean_span,pos,root-heldout,5,0.8774809505505686,0.04075823651121139,0.8536381760893118,0.04972941821579384,0.6290290998711194,0.24845185067944917,9.0,"3,5,6,14,17"
gemma-4-2b,full_prompt_final,gender,lemma-heldout,5,0.935516960097886,0.01330393953252532,0.9310449172415168,0.013480112671464518,0.6260711938911925,0.3094457662066934,2.4,"1,2,2,3,4"
gemma-4-2b,full_prompt_final,gender,random,5,0.9778669023179933,0.0035271725688864903,0.9764125286920523,0.003712997341778999,0.6260906804432058,0.3517762218747875,2.0,"1,2,2,2,3"
gemma-4-2b,full_prompt_final,gender,root-heldout,5,0.9148797951646161,0.013735643499197519,0.9085567978514689,0.013575788991531255,0.6260895475041353,0.28879024766048084,3.2,"1,2,2,5,6"
gemma-4-2b,full_prompt_final,number,lemma-heldout,5,0.9395631386944011,0.018179217545711834,0.8261788678539744,0.07663324694598621,0.8414610382253642,0.09810210046903681,4.2,"2,3,4,4,8"
gemma-4-2b,full_prompt_final,number,random,5,0.9782908481181881,0.0067935468113941525,0.8938279266882873,0.04775350371230715,0.8414556001178257,0.13683524800036256,4.4,"2,3,4,4,9"
gemma-4-2b,full_prompt_final,number,root-heldout,5,0.904867106247026,0.044676013860567944,0.744055613292152,0.11809836354376177,0.8414483493077742,0.06341875693925181,7.0,"3,3,4,4,21"
gemma-4-2b,full_prompt_final,pos,lemma-heldout,5,0.847265019105976,0.023293445331100816,0.8274887446613585,0.02488850408088543,0.6290024193366043,0.21826259976937168,3.6,"2,3,3,4,6"
gemma-4-2b,full_prompt_final,pos,random,5,0.9553290976100571,0.005900462919221552,0.9481090717708381,0.007355105796530537,0.6290150812851877,0.32631401632486945,2.4,"1,2,2,2,5"
gemma-4-2b,full_prompt_final,pos,root-heldout,5,0.818356433852624,0.048261558254396264,0.7798727797695995,0.04778502477352107,0.6290290998711194,0.1893273339815045,3.8,"0,3,4,4,8"
gemma-4-2b,metadata_free_prompt_final,gender,lemma-heldout,5,0.8395447850814584,0.03419279006191259,0.8272914657284733,0.03682921519412459,0.6260711938911925,0.21347359119026574,7.2,"1,3,4,4,24"
gemma-4-2b,metadata_free_prompt_final,gender,random,5,0.9514778057236082,0.006824929362030224,0.9483957545049246,0.007376042736998124,0.6260906804432058,0.32538712528040237,6.8,"4,5,5,6,14"
gemma-4-2b,metadata_free_prompt_final,gender,root-heldout,5,0.8269832098429747,0.023342073471523617,0.8155169410123779,0.029034409551978686,0.6260895475041353,0.20089366233883946,11.4,"4,4,5,22,22"
gemma-4-2b,metadata_free_prompt_final,number,lemma-heldout,5,0.9161550313824124,0.014533021934413576,0.6968840953410713,0.04138402754974726,0.8414610382253642,0.07469399315704806,10.4,"4,4,8,14,22"
