model_id,feature_set,task,split,fold,real_accuracy,shuffled_accuracy,shuffled_macro_f1,shuffled_majority_accuracy,shuffled_selected_layer
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,0,0.7789585547290117,0.4218916046758767,0.30858512577306657,0.6886291179596175,0
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,1,0.7042553191489361,0.4117021276595745,0.3520374697010551,0.5989361702127659,6
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,2,0.7212765957446808,0.40638297872340423,0.3165448143353242,0.6382978723404256,1
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,3,0.6840425531914893,0.44468085106382976,0.31260603143297744,0.6351063829787233,5
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,4,0.7351063829787234,0.4085106382978723,0.3134364109669564,0.5840425531914893,0
llama-3.2-1b,metadata_free_prompt_final,pos,random,0,0.8841657810839533,0.46546227417640806,0.30862728134159484,0.6291179596174282,14
llama-3.2-1b,metadata_free_prompt_final,pos,random,1,0.9085106382978724,0.5063829787234042,0.3589691947479299,0.6297872340425532,8
llama-3.2-1b,metadata_free_prompt_final,pos,random,2,0.9191489361702128,0.4925531914893617,0.33217106058594065,0.6287234042553191,15
llama-3.2-1b,metadata_free_prompt_final,pos,random,3,0.9351063829787234,0.5074468085106383,0.3250563713358632,0.6287234042553191,0
llama-3.2-1b,metadata_free_prompt_final,pos,random,4,0.925531914893617,0.5063829787234042,0.3344400272669312,0.6287234042553191,8
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,0,0.7056323060573858,0.45164718384697133,0.38192607682957774,0.563230605738576,11
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,1,0.752127659574468,0.425531914893617,0.33295282993609193,0.6574468085106383,2
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,2,0.75,0.39680851063829786,0.3067640658149932,0.6170212765957447,13
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,3,0.6542553191489362,0.3627659574468085,0.28354524799415376,0.6712765957446809,4
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,4,0.7191489361702128,0.46170212765957447,0.3550117093419461,0.6361702127659574,1
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,0,0.6882978723404255,0.5085106382978724,0.48757522123893804,0.6542553191489362,9
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,1,0.6819148936170213,0.49148936170212765,0.4734473658305638,0.6808510638297872,1
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,2,0.7127659574468085,0.5106382978723404,0.48791799108475176,0.6425531914893617,6
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,3,0.7468085106382979,0.4978723404255319,0.4709630647130647,0.6180851063829788,7
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,4,0.7689030883919062,0.49627263045793396,0.4932934947412374,0.5346112886048988,11
