model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,12,0.9667553191489362,0.964358770680918
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,13,0.9507978723404256,0.9469306401930211
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,14,0.9481382978723404,0.9442330619905193
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,15,0.9428191489361702,0.9383247980621596
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,16,0.9361702127659575,0.9319148936170213
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,17,0.9561170212765957,0.9527407003959223
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,18,0.961436170212766,0.9587169075541169
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,19,0.9561170212765957,0.9534813098565411
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,20,0.9507978723404256,0.9465932669588067
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,21,0.9481382978723404,0.9437970346266837
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,22,0.9202127659574468,0.9124441132637854
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,23,0.9388297872340425,0.9344684656012487
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,24,0.8763297872340425,0.8695863783255604
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,25,0.9348404255319149,0.9307387949587888
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,26,0.9348404255319149,0.9303470737567175
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,27,0.9507978723404256,0.9474049332448684
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,28,0.9228723404255319,0.9170015832419924
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,29,0.9228723404255319,0.9177304964539007
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,30,0.9148936170212766,0.9095984071527856
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,31,0.8789893617021277,0.8713720477806077
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,0,0.8337765957446809,0.828070271703842
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,1,0.9574468085106383,0.955533217041658
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,2,0.9680851063829787,0.9665319141045136
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,3,0.9787234042553191,0.9776609333689807
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,4,0.961436170212766,0.9598603357610762
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,5,0.9680851063829787,0.9667256637168141
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,6,0.9667553191489362,0.9651995564794538
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,7,0.9441489361702128,0.9417041351967929
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,8,0.961436170212766,0.9595836043759718
